sex,age,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,race,is_violent_recid
1,34,1,0,0,0,0,1,0,1
0,39,1,0,0,0,0,0,1,0
1,27,1,0,0,0,0,1,1,0
0,37,1,0,0,0,0,0,1,0
1,41,1,0,0,0,0,1,0,0
1,25,1,0,0,0,3,1,0,0
1,31,1,0,0,0,6,1,1,1
0,21,0,0,0,0,0,1,1,0
1,43,1,0,0,0,1,0,1,0
1,27,1,0,0,0,8,1,0,1
1,33,1,0,0,0,0,1,0,1
1,55,2,0,0,0,0,1,1,0
1,29,1,0,0,0,0,0,1,0
0,21,0,0,0,0,2,1,0,0
1,51,2,0,0,0,2,0,0,0
0,51,2,0,0,0,7,1,0,0
1,25,1,0,0,0,9,0,1,1
1,35,1,1,0,4,13,1,0,1
1,49,2,0,0,0,0,0,1,0
1,29,1,0,0,0,0,1,0,0
1,31,1,0,0,1,15,1,0,0
1,49,2,0,0,0,4,0,0,0
1,53,2,0,0,0,8,1,1,0
1,35,1,0,0,0,5,1,0,0
0,56,2,0,0,0,0,0,0,0
1,39,1,0,0,0,1,0,0,0
1,40,1,0,0,0,2,1,0,0
1,22,0,0,0,0,0,1,1,0
0,26,1,0,0,0,1,1,0,1
1,27,1,0,0,0,1,1,1,1
1,32,1,0,0,0,0,1,0,0
1,41,1,0,0,0,1,0,0,0
1,30,1,0,0,0,8,0,0,1
1,25,1,1,6,1,14,1,0,1
0,35,1,0,0,0,1,0,0,0
1,25,1,0,0,0,9,1,1,1
0,20,0,0,0,0,0,1,1,0
1,66,2,0,0,0,3,1,1,0
0,54,2,0,0,0,0,0,1,0
1,19,0,0,0,0,1,0,0,1
1,24,0,0,0,0,1,1,0,0
1,30,1,0,0,0,1,1,0,0
0,39,1,0,0,0,0,1,1,1
1,30,1,0,0,0,0,1,1,0
1,31,1,0,0,0,0,0,1,0
0,39,1,0,0,0,1,1,1,0
1,43,1,0,0,0,1,1,1,0
1,34,1,0,0,0,0,1,1,0
1,37,1,0,0,0,3,1,0,0
1,31,1,0,0,0,1,0,0,0
1,31,1,0,0,0,13,1,1,1
1,52,2,0,0,0,3,0,1,0
0,64,2,0,0,0,2,0,1,0
