algorithm,params,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,race-accuracy,0-accuracy_over_1-accuracy,race-accuracyRatio,diff:1-accuracyto0-accuracy,race-accuracyDiff,0-accuracy,1-accuracy,sex-accuracy,0-accuracy_over_1-accuracy,sex-accuracyRatio,diff:1-accuracyto0-accuracy,sex-accuracyDiff,0-accuracy,1-accuracy,race-sex-accuracy,0-accuracy_over_1-1-accuracy,1-accuracy_over_1-1-accuracy,race-sex-accuracyRatio,diff:1-1-accuracyto0-accuracy,diff:1-1-accuracyto1-accuracy,race-sex-accuracyDiff,0-TPR,1-TPR,race-TPR,0-TPR_over_1-TPR,race-TPRRatio,diff:1-TPRto0-TPR,race-TPRDiff,0-TPR,1-TPR,sex-TPR,0-TPR_over_1-TPR,sex-TPRRatio,diff:1-TPRto0-TPR,sex-TPRDiff,0-TPR,1-TPR,race-sex-TPR,0-TPR_over_1-1-TPR,1-TPR_over_1-1-TPR,race-sex-TPRRatio,diff:1-1-TPRto0-TPR,diff:1-1-TPRto1-TPR,race-sex-TPRDiff,0-TNR,1-TNR,race-TNR,0-TNR_over_1-TNR,race-TNRRatio,diff:1-TNRto0-TNR,race-TNRDiff,0-TNR,1-TNR,sex-TNR,0-TNR_over_1-TNR,sex-TNRRatio,diff:1-TNRto0-TNR,sex-TNRDiff,0-TNR,1-TNR,race-sex-TNR,0-TNR_over_1-1-TNR,1-TNR_over_1-1-TNR,race-sex-TNRRatio,diff:1-1-TNRto0-TNR,diff:1-1-TNRto1-TNR,race-sex-TNRDiff,0-FPR,1-FPR,race-FPR,0-FPR_over_1-FPR,race-FPRRatio,diff:1-FPRto0-FPR,race-FPRDiff,0-FPR,1-FPR,sex-FPR,0-FPR_over_1-FPR,sex-FPRRatio,diff:1-FPRto0-FPR,sex-FPRDiff,0-FPR,1-FPR,race-sex-FPR,0-FPR_over_1-1-FPR,1-FPR_over_1-1-FPR,race-sex-FPRRatio,diff:1-1-FPRto0-FPR,diff:1-1-FPRto1-FPR,race-sex-FPRDiff,0-FNR,1-FNR,race-FNR,0-FNR_over_1-FNR,race-FNRRatio,diff:1-FNRto0-FNR,race-FNRDiff,0-FNR,1-FNR,sex-FNR,0-FNR_over_1-FNR,sex-FNRRatio,diff:1-FNRto0-FNR,sex-FNRDiff,0-FNR,1-FNR,race-sex-FNR,0-FNR_over_1-1-FNR,1-FNR_over_1-1-FNR,race-sex-FNRRatio,diff:1-1-FNRto0-FNR,diff:1-1-FNRto1-FNR,race-sex-FNRDiff,0-calibration+,1-calibration+,race-calibration+,0-calibration+_over_1-calibration+,race-calibration+Ratio,diff:1-calibration+to0-calibration+,race-calibration+Diff,0-calibration+,1-calibration+,sex-calibration+,0-calibration+_over_1-calibration+,sex-calibration+Ratio,diff:1-calibration+to0-calibration+,sex-calibration+Diff,0-calibration+,1-calibration+,race-sex-calibration+,0-calibration+_over_1-1-calibration+,1-calibration+_over_1-1-calibration+,race-sex-calibration+Ratio,diff:1-1-calibration+to0-calibration+,diff:1-1-calibration+to1-calibration+,race-sex-calibration+Diff,0-calibration-,1-calibration-,race-calibration-,0-calibration-_over_1-calibration-,race-calibration-Ratio,diff:1-calibration-to0-calibration-,race-calibration-Diff,0-calibration-,1-calibration-,sex-calibration-,0-calibration-_over_1-calibration-,sex-calibration-Ratio,diff:1-calibration-to0-calibration-,sex-calibration-Diff,0-calibration-,1-calibration-,race-sex-calibration-,0-calibration-_over_1-1-calibration-,1-calibration-_over_1-1-calibration-,race-sex-calibration-Ratio,diff:1-1-calibration-to0-calibration-,diff:1-1-calibration-to1-calibration-,race-sex-calibration-Diff
SVM,,0.859359459,0.569115324,0.957059293,0.763087308,0.600484571,0.347103986,0.347103986,0.844527845,0.90027894,0.852552204,0.876415572,1.055981013,1.055981013,1.047726736,1.047726736,0.931246163,0.824896998,0.878071581,1.128924175,1.128924175,1.106349165,1.106349165,0.916604984,0.820696551,0.868650767,None,None,1,None,None,1,0.53125,0.572790295,0.552020147,0.927477307,0.927477307,0.958459705,0.958459705,0.472375691,0.585253456,0.528814573,0.807130117,0.807130117,0.887122234,0.887122234,0.497206704,0.588471178,0.542838941,None,None,1,None,None,1,0.968595041,0.954847909,0.961721475,1.014397196,1.014397196,1.013747133,1.013747133,0.988604972,0.937310852,0.962957912,1.05472477,1.05472477,1.051294121,1.051294121,0.980659841,0.936345482,0.958502661,None,None,1,None,None,1,0.031404959,0.045152091,0.038278525,0.69553719,0.69553719,0.986252867,0.986252867,0.011395028,0.062689148,0.037042088,0.181770337,0.181770337,0.948705879,0.948705879,0.019340159,0.063654518,0.041497339,None,None,1,None,None,1,0.46875,0.427209705,0.447979853,1.097236308,1.097236308,1.041540295,1.041540295,0.527624309,0.414746544,0.471185427,1.272160835,1.272160835,1.112877766,1.112877766,0.502793296,0.411528822,0.457161059,None,None,1,None,None,1,0.757961783,0.822650902,0.790306343,0.921365042,0.921365042,0.935310881,0.935310881,0.838235294,0.814102564,0.826168929,1.029643353,1.029643353,1.02413273,1.02413273,0.797014925,0.821553534,0.80928423,None,None,1,None,None,1,0.082223962,0.140596036,0.111409999,0.584824187,0.584824187,0.941627926,0.941627926,0.06254093,0.171886937,0.117213933,0.363849232,0.363849232,0.890653993,0.890653993,0.072619688,0.179571304,0.126095496,None,None,1,None,None,1
SVM,,0.856574498,0.554436265,0.960926,0.757681133,0.597396816,0.346758223,0.346758223,0.84839329,0.904390935,0.848761861,0.876576398,1.06554144,1.06554144,1.055629074,1.055629074,0.921990172,0.825242718,0.873616445,1.11723515,1.11723515,1.096747454,1.096747454,0.912816692,0.819011281,0.865913986,None,None,1,None,None,1,0.560538117,0.553859203,0.55719866,1.012058866,1.012058866,1.006678914,1.006678914,0.411764706,0.578613502,0.495189104,0.711640334,0.711640334,0.833151203,0.833151203,0.475409836,0.575787402,0.525598619,None,None,1,None,None,1,0.968881413,0.959420751,0.964151082,1.009860806,1.009860806,1.009460662,1.009460662,0.988202637,0.943803093,0.966002865,1.047043228,1.047043228,1.044399544,1.044399544,0.981880932,0.942692693,0.962286812,None,None,1,None,None,1,0.031118587,0.040579249,0.035848918,0.766859612,0.766859612,0.990539338,0.990539338,0.011797363,0.056196907,0.033997135,0.209929044,0.209929044,0.955600456,0.955600456,0.018119068,0.057307307,0.037713188,None,None,1,None,None,1,0.439461883,0.446140797,0.44280134,0.985029583,0.985029583,0.993321086,0.993321086,0.588235294,0.421386498,0.504810896,1.395951929,1.395951929,1.166848797,1.166848797,0.524590164,0.424212598,0.474401381,None,None,1,None,None,1,0.771604938,0.836643177,0.804124058,0.92226287,0.92226287,0.934961761,0.934961761,0.819148936,0.831921824,0.82553538,0.984646529,0.984646529,0.987227112,0.987227112,0.805555556,0.836311651,0.820933603,None,None,1,None,None,1,0.0784,0.148566587,0.113483293,0.527709506,0.527709506,0.929833413,0.929833413,0.071707953,0.176705301,0.124206627,0.40580533,0.40580533,0.895002652,0.895002652,0.077795786,0.186217326,0.132006556,None,None,1,None,None,1
SVM,,0.859259996,0.580607477,0.954849052,0.767728264,0.605301615,0.352790076,0.352790076,0.840809408,0.900714286,0.852553732,0.876634009,1.056489757,1.056489757,1.048160553,1.048160553,0.924003707,0.828516943,0.876260325,1.115250225,1.115250225,1.095486764,1.095486764,0.912484549,0.823431519,0.867958034,None,None,1,None,None,1,0.572614108,0.581435324,0.577024716,0.984828551,0.984828551,0.991178783,0.991178783,0.449612403,0.603851444,0.526731924,0.744574526,0.744574526,0.845760959,0.845760959,0.497400347,0.604721246,0.551060796,None,None,1,None,None,1,0.96893874,0.952268058,0.960603399,1.017506292,1.017506292,1.016670683,1.016670683,0.988421053,0.934210526,0.961315789,1.058028169,1.058028169,1.054210526,1.054210526,0.981545559,0.931806869,0.956676214,None,None,1,None,None,1,0.03106126,0.047731942,0.039396601,0.650743676,0.650743676,0.983329317,0.983329317,0.011578947,0.065789474,0.038684211,0.176,0.176,0.945789474,0.945789474,0.018454441,0.068193131,0.043323786,None,None,1,None,None,1,0.427385892,0.418564676,0.422975284,1.021074919,1.021074919,1.008821217,1.008821217,0.550387597,0.396148556,0.473268076,1.389346469,1.389346469,1.154239041,1.154239041,0.502599653,0.395278754,0.448939204,None,None,1,None,None,1,0.793103448,0.817522659,0.805313053,0.970130234,0.970130234,0.97558079,0.97558079,0.84057971,0.811960543,0.826270126,1.035246993,1.035246993,1.028619168,1.028619168,0.817663818,0.814614344,0.816139081,None,None,1,None,None,1,0.084013051,0.139162738,0.111587894,0.603703635,0.603703635,0.944850313,0.944850313,0.07029703,0.166313763,0.118305396,0.422677164,0.422677164,0.903983266,0.903983266,0.078505685,0.173692342,0.126099013,None,None,1,None,None,1
SVM,,0.860851402,0.577278202,0.954250959,0.76576458,0.600635268,0.329857408,0.329857408,0.836536887,0.913385827,0.852373802,0.882879814,1.071578954,1.071578954,1.061012025,1.061012025,0.929819277,0.826848827,0.878334052,1.124533587,1.124533587,1.10297045,1.10297045,0.921985816,0.818943839,0.870464827,None,None,1,None,None,1,0.575471698,0.577446248,0.576458973,0.996580547,0.996580547,0.99802545,0.99802545,0.461942257,0.598104265,0.530023261,0.772344028,0.772344028,0.863837992,0.863837992,0.50929368,0.596006144,0.552649912,None,None,1,None,None,1,0.973839662,0.950611477,0.96222557,1.024434994,1.024434994,1.023228185,1.023228185,0.99047295,0.931228374,0.960850662,1.063619814,1.063619814,1.059244576,1.059244576,0.984511405,0.927467597,0.955989501,None,None,1,None,None,1,0.026160338,0.049388523,0.03777443,0.529684549,0.529684549,0.976771815,0.976771815,0.00952705,0.068771626,0.039149338,0.138531696,0.138531696,0.940755424,0.940755424,0.015488595,0.072532403,0.044010499,None,None,1,None,None,1,0.424528302,0.422553752,0.423541027,1.004672897,1.004672897,1.00197455,1.00197455,0.538057743,0.401895735,0.469976739,1.338799336,1.338799336,1.136162008,1.136162008,0.49070632,0.403993856,0.447350088,None,None,1,None,None,1,0.797385621,0.806866953,0.802126287,0.9882492,0.9882492,0.990518668,0.990518668,0.862745098,0.798734177,0.830739638,1.080140456,1.080140456,1.064010921,1.064010921,0.832826748,0.8,0.816413374,None,None,1,None,None,1,0.072347267,0.13706234,0.104704803,0.527842053,0.527842053,0.935284927,0.935284927,0.065789474,0.164532402,0.115160938,0.399857249,0.399857249,0.901257072,0.901257072,0.070212766,0.174944568,0.122578667,None,None,1,None,None,1
SVM,,0.860553014,0.571769384,0.956890834,0.764330109,0.602105901,0.335048485,0.335048485,0.841526657,0.905040175,0.853540587,0.879290381,1.060336426,1.060336426,1.051499588,1.051499588,0.930875576,0.826886307,0.878880941,1.125760057,1.125760057,1.103989269,1.103989269,0.918397997,0.822412939,0.870405468,None,None,1,None,None,1,0.573275862,0.571616294,0.572446078,1.00290329,1.00290329,1.001659568,1.001659568,0.440340909,0.593157651,0.51674928,0.742367409,0.742367409,0.847183258,0.847183258,0.493457944,0.592929293,0.543193618,None,None,1,None,None,1,0.972735268,0.954076851,0.96340606,1.019556514,1.019556514,1.018658417,1.018658417,0.990354805,0.935936152,0.963145479,1.058143553,1.058143553,1.054418654,1.054418654,0.984104046,0.933807306,0.958955676,None,None,1,None,None,1,0.027264732,0.045923149,0.03659394,0.593703444,0.593703444,0.981341583,0.981341583,0.009645195,0.064063848,0.036854521,0.150555967,0.150555967,0.945581346,0.945581346,0.015895954,0.066192694,0.041044324,None,None,1,None,None,1,0.426724138,0.428383706,0.427553922,0.996125978,0.996125978,0.998340432,0.998340432,0.559659091,0.406842349,0.48325072,1.375616606,1.375616606,1.152816742,1.152816742,0.506542056,0.407070707,0.456806382,None,None,1,None,None,1,0.81097561,0.816135084,0.813555347,0.993678161,0.993678161,0.994840525,0.994840525,0.846994536,0.812025316,0.829509926,1.043064198,1.043064198,1.034969219,1.034969219,0.827586207,0.813019391,0.820302799,None,None,1,None,None,1,0.082157676,0.138018628,0.110088152,0.595265127,0.595265127,0.944139048,0.944139048,0.064127604,0.168614677,0.116371141,0.380320416,0.380320416,0.895512927,0.895512927,0.073721436,0.174647887,0.124184662,None,None,1,None,None,1
SVM,,0.856972349,0.550557325,0.959029435,0.75479338,0.5896794,0.324864429,0.324864429,0.844095876,0.904862579,0.84910249,0.876982535,1.065669445,1.065669445,1.055760089,1.055760089,0.928746177,0.822376179,0.875561178,1.129344697,1.129344697,1.106369998,1.106369998,0.917306264,0.816458853,0.866882558,None,None,1,None,None,1,0.518691589,0.553524804,0.536108196,0.937070182,0.937070182,0.965166785,0.965166785,0.422413793,0.57116451,0.496789152,0.739565897,0.739565897,0.851249283,0.851249283,0.47024952,0.571572074,0.520910797,None,None,1,None,None,1,0.973443983,0.956288465,0.964866224,1.01793969,1.01793969,1.017155519,1.017155519,0.989048597,0.94004329,0.964545943,1.052130904,1.052130904,1.049005307,1.049005307,0.98351336,0.937624254,0.960568807,None,None,1,None,None,1,0.026556017,0.043711535,0.035133776,0.607528798,0.607528798,0.982844481,0.982844481,0.010951403,0.05995671,0.035454057,0.182655172,0.182655172,0.950994693,0.950994693,0.01648664,0.062375746,0.039431193,None,None,1,None,None,1,0.481308411,0.446475196,0.463891804,1.078018254,1.078018254,1.034833215,1.034833215,0.577586207,0.42883549,0.503210848,1.346871284,1.346871284,1.148750717,1.148750717,0.52975048,0.428427926,0.479089203,None,None,1,None,None,1,0.776223776,0.821174952,0.798699364,0.945259929,0.945259929,0.955048825,0.955048825,0.82122905,0.816920026,0.819074538,1.005274719,1.005274719,1.004309024,1.004309024,0.808580858,0.819294456,0.813937657,None,None,1,None,None,1,0.080721003,0.144792549,0.112756776,0.55749418,0.55749418,0.935928454,0.935928454,0.065027499,0.176057674,0.120542587,0.369353392,0.369353392,0.888969825,0.888969825,0.073875803,0.184392564,0.129134183,None,None,1,None,None,1
SVM,,0.86284066,0.578303426,0.954617206,0.766460316,0.601806793,0.360238302,0.360238302,0.848828181,0.917303683,0.853743471,0.885523577,1.074448842,1.074448842,1.063560212,1.063560212,0.924516723,0.83325975,0.878888236,1.109518038,1.109518038,1.091256973,1.091256973,0.91857883,0.825195801,0.871887316,None,None,1,None,None,1,0.614107884,0.574400724,0.594254304,1.069127977,1.069127977,1.03970716,1.03970716,0.43315508,0.604427334,0.518791207,0.716637147,0.716637147,0.828727746,0.828727746,0.513416816,0.597464342,0.555440579,None,None,1,None,None,1,0.978297162,0.950187383,0.964242272,1.029583406,1.029583406,1.028109779,1.028109779,0.988214905,0.934068264,0.961141584,1.057968612,1.057968612,1.054146641,1.054146641,0.983400114,0.930136319,0.956768217,None,None,1,None,None,1,0.021702838,0.049812617,0.035757728,0.435689577,0.435689577,0.971890221,0.971890221,0.011785095,0.065931736,0.038858416,0.178746928,0.178746928,0.945853359,0.945853359,0.016599886,0.069863681,0.043231783,None,None,1,None,None,1,0.385892116,0.425599276,0.405745696,0.906702942,0.906702942,0.96029284,0.96029284,0.56684492,0.395572666,0.481208793,1.432972924,1.432972924,1.171272254,1.171272254,0.486583184,0.402535658,0.444559421,None,None,1,None,None,1,0.850574713,0.799244808,0.82490976,1.064223007,1.064223007,1.051329905,1.051329905,0.826530612,0.801531589,0.814031101,1.031189068,1.031189068,1.024999023,1.024999023,0.831884058,0.797602257,0.814743157,None,None,1,None,None,1,0.073517787,0.133931113,0.10372445,0.548922389,0.548922389,0.939586674,0.939586674,0.06921319,0.157230298,0.113221744,0.440202622,0.440202622,0.911982891,0.911982891,0.073354908,0.166266638,0.119810773,None,None,1,None,None,1
SVM,,0.861945494,0.576038725,0.955511551,0.765775138,0.602213526,0.361904327,0.361904327,0.849598534,0.910128388,0.854137772,0.88213308,1.065552207,1.065552207,1.055990616,1.055990616,0.933660934,0.827596352,0.880628643,1.128159799,1.128159799,1.106064582,1.106064582,0.92116389,0.82247638,0.871820135,None,None,1,None,None,1,0.597345133,0.573901465,0.585623299,1.04084964,1.04084964,1.023443668,1.023443668,0.473239437,0.593220339,0.533229888,0.797746479,0.797746479,0.880019098,0.880019098,0.524253731,0.590324241,0.557288986,None,None,1,None,None,1,0.970238095,0.952805126,0.961521611,1.018296469,1.018296469,1.017432969,1.017432969,0.990003447,0.934103552,0.962053499,1.05984336,1.05984336,1.055899896,1.055899896,0.982209469,0.932762836,0.957486153,None,None,1,None,None,1,0.029761905,0.047194874,0.038478389,0.630617313,0.630617313,0.982567031,0.982567031,0.009996553,0.065896448,0.037946501,0.151700936,0.151700936,0.944100104,0.944100104,0.017790531,0.067237164,0.042513847,None,None,1,None,None,1,0.402654867,0.426098535,0.414376701,0.944980642,0.944980642,0.976556332,0.976556332,0.526760563,0.406779661,0.466770112,1.294953052,1.294953052,1.119980902,1.119980902,0.475746269,0.409675759,0.442711014,None,None,1,None,None,1,0.794117647,0.810658307,0.802387977,0.979596015,0.979596015,0.98345934,0.98345934,0.852791878,0.803571429,0.828181653,1.061252115,1.061252115,1.04922045,1.04922045,0.819241983,0.806610408,0.812926195,None,None,1,None,None,1,0.073863636,0.136035142,0.104949389,0.542974669,0.542974669,0.937828494,0.937828494,0.061131089,0.165200765,0.113165927,0.370041196,0.370041196,0.895930324,0.895930324,0.069331158,0.172630666,0.120980912,None,None,1,None,None,1
SVM,,0.857768053,0.558974359,0.95850512,0.75873974,0.595487348,0.313569917,0.313569917,0.836667896,0.906096706,0.849773965,0.877935336,1.066279673,1.066279673,1.056322741,1.056322741,0.924869672,0.825555719,0.875212696,1.120299515,1.120299515,1.099313953,1.099313953,0.913321842,0.820123477,0.86672266,None,None,1,None,None,1,0.545045045,0.560311284,0.552678165,0.972754004,0.972754004,0.984733761,0.984733761,0.405913978,0.585298197,0.495606088,0.693516537,0.693516537,0.820615782,0.820615782,0.455210238,0.587525151,0.521367694,None,None,1,None,None,1,0.972614108,0.95581248,0.964213294,1.017578372,1.017578372,1.016801628,1.016801628,0.991692627,0.937796976,0.964744802,1.057470489,1.057470489,1.053895651,1.053895651,0.984632897,0.935580524,0.960106711,None,None,1,None,None,1,0.027385892,0.04418752,0.035786706,0.619765315,0.619765315,0.983198372,0.983198372,0.008307373,0.062203024,0.035255198,0.133552556,0.133552556,0.946104349,0.946104349,0.015367103,0.064419476,0.039893289,None,None,1,None,None,1,0.454954955,0.439688716,0.447321835,1.034720561,1.034720561,1.015266239,1.015266239,0.594086022,0.414701803,0.504393912,1.432561945,1.432561945,1.179384218,1.179384218,0.544789762,0.412474849,0.478632306,None,None,1,None,None,1,0.785714286,0.822857143,0.804285714,0.954861111,0.954861111,0.962857143,0.962857143,0.862857143,0.814671815,0.838764479,1.059146919,1.059146919,1.048185328,1.048185328,0.821782178,0.819074334,0.820428256,None,None,1,None,None,1,0.079340141,0.144214407,0.111777274,0.550154058,0.550154058,0.935125734,0.935125734,0.071613739,0.171215881,0.12141481,0.418265754,0.418265754,0.900397859,0.900397859,0.079297499,0.179548938,0.129423218,None,None,1,None,None,1
SVM,,0.863139049,0.581980519,0.954413702,0.768197111,0.604446088,0.354842613,0.354842613,0.846111208,0.912889518,0.855010414,0.883949966,1.067694034,1.067694034,1.057879104,1.057879104,0.928328699,0.832184245,0.880256472,1.115532654,1.115532654,1.096144454,1.096144454,0.916355489,0.827729004,0.872042247,None,None,1,None,None,1,0.6,0.580301686,0.590150843,1.033944954,1.033944954,1.019698314,1.019698314,0.443478261,0.604530439,0.52400435,0.733591284,0.733591284,0.838947822,0.838947822,0.503846154,0.602880658,0.553363406,None,None,1,None,None,1,0.967554077,0.95194114,0.959747608,1.016401158,1.016401158,1.015612937,1.015612937,0.986168741,0.9348659,0.960517321,1.054877219,1.054877219,1.051302841,1.051302841,0.977695167,0.934522355,0.956108761,None,None,1,None,None,1,0.032445923,0.04805886,0.040252392,0.675128857,0.675128857,0.984387063,0.984387063,0.013831259,0.0651341,0.039482679,0.2123505,0.2123505,0.948697159,0.948697159,0.022304833,0.065477645,0.043891239,None,None,1,None,None,1,0.4,0.419698314,0.409849157,0.953065539,0.953065539,0.980301686,0.980301686,0.556521739,0.395469561,0.47599565,1.407242918,1.407242918,1.161052178,1.161052178,0.496153846,0.397119342,0.446636594,None,None,1,None,None,1,0.763636364,0.809907121,0.786771742,0.942869058,0.942869058,0.953729243,0.953729243,0.792746114,0.807183365,0.799964739,0.982114038,0.982114038,0.985562749,0.985562749,0.770588235,0.813888889,0.792238562,None,None,1,None,None,1,0.067361668,0.134623595,0.100992631,0.500370445,0.500370445,0.932738073,0.932738073,0.063074901,0.160229446,0.111652173,0.393653621,0.393653621,0.902845456,0.902845456,0.070165896,0.16793561,0.119050753,None,None,1,None,None,1
