|1-DI|/Acc, Acc, |1-DI|
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
3.58550292476e-05,0.910853530032,3.265867995960736e-05
