@relation BlackBoxAuditing
@attribute usite numeric
@attribute azip numeric
@attribute urace_orig numeric
@attribute ugender numeric
@attribute szip numeric
@attribute csvr2 numeric
@attribute hired {0,1}
@attribute req_1 numeric
@attribute req_2 numeric
@attribute req_3 numeric
@attribute req_5 numeric
@attribute req_6 numeric
@attribute req_7 numeric
@attribute req_8 numeric
@attribute req_9 numeric
@attribute req_10 numeric
@attribute req_11 numeric
@attribute req_12 numeric
@attribute req_13 numeric
@attribute req_14 numeric
@attribute req_15 numeric
@attribute req_17 numeric
@attribute req_18 numeric
@attribute req_19 numeric
@attribute req_20 numeric
@attribute req_21 numeric
@attribute req_22 numeric
@attribute req_23 numeric
@attribute req_24 numeric
@attribute req_25 numeric
@attribute req_26 numeric
@attribute req_27 numeric
@attribute age numeric

@data
1500,35661,1,1.0,35661,1.651198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17
1500,35661,1,2.0,35661,0.7894468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1500,35653,1,2.0,35661,0.3893482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1500,35630,1,2.0,35661,0.6355627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19
1500,35646,1,2.0,35661,-0.5339564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22
1500,35661,1,1.0,35661,0.8510005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1500,35661,1,1.0,35661,1.066438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1500,35661,1,2.0,35661,0.5432323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19
1500,35674,1,1.0,35661,0.7894468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23
1500,34698,0,2.0,34698,0.9741077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
